LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"110070 Campo Novo de Rondônia";-;1;-;-;-;-;1
"110090 Castanheiras";-;-;-;-;-;1;1
"110110 Itapuã do Oeste";-;1;-;-;-;-;1
"110012 Ji-Paraná";-;-;-;-;1;-;1
"110013 Machadinho D'Oeste";-;-;-;-;-;1;1
"110120 Ministro Andreazza";-;-;-;-;-;2;2
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;2;2
"110015 Ouro Preto do Oeste";-;-;-;-;-;1;1
"110020 Porto Velho";2;1;1;2;3;3;12
"110160 Theobroma";-;1;-;-;-;-;1
"120005 Assis Brasil";-;-;-;1;-;-;1
"120010 Brasiléia";-;-;-;1;-;-;1
"120013 Bujari";1;1;-;-;-;2;4
"120020 Cruzeiro do Sul";-;-;-;-;1;-;1
"120025 Epitaciolândia";-;-;-;-;-;1;1
"120030 Feijó";-;-;-;-;-;1;1
"120038 Plácido de Castro";-;-;-;-;-;1;1
"120080 Porto Acre";-;-;-;-;-;7;7
"120040 Rio Branco";7;16;14;1;13;440;491
"120050 Sena Madureira";-;1;1;-;-;-;2
"120045 Senador Guiomard";-;-;-;-;-;8;8
"120060 Tarauacá";-;-;-;1;4;4;9
"120070 Xapuri";-;-;-;-;-;3;3
"130002 Alvarães";-;-;-;-;1;-;1
"130060 Benjamin Constant";-;-;-;-;-;1;1
"130070 Boca do Acre";-;-;-;-;2;-;2
"130120 Coari";-;1;-;-;1;2;4
"130130 Codajás";-;-;-;-;-;2;2
"130140 Eirunepé";-;-;-;-;-;1;1
"130185 Iranduba";1;3;-;1;-;1;6
"130190 Itacoatiara";1;-;-;1;1;-;3
"130220 Juruá";1;-;-;-;-;1;2
"130240 Lábrea";-;-;-;1;-;-;1
"130250 Manacapuru";-;-;1;-;3;-;4
